,marca_x,modelo_x,marca_y_modelo_km77,match,marca_y,modelo_y,marca_y_modelo_dgt
440,LAND ROVER,DISCOVERY SPORT PHEV,LAND ROVER DISCOVERY SPORT PHEV,LAND ROVER DISCOVERY SPORT,LAND ROVER,DISCOVERY SPORT,LAND ROVER DISCOVERY SPORT
441,LAND ROVER,DISCOVERY SPORT,LAND ROVER DISCOVERY SPORT,LAND ROVER DISCOVERY SPORT,LAND ROVER,DISCOVERY SPORT,LAND ROVER DISCOVERY SPORT
442,VOLKSWAGEN,AMAROK,VOLKSWAGEN AMAROK,VOLKSWAGEN AMAROK,VOLKSWAGEN,AMAROK,VOLKSWAGEN AMAROK
443,VOLKSWAGEN,AMAROK CANYON,VOLKSWAGEN AMAROK CANYON,VOLKSWAGEN AMAROK,VOLKSWAGEN,AMAROK,VOLKSWAGEN AMAROK
444,LAMBORGHINI,HURACAN,LAMBORGHINI HURACAN,LAMBORGHINI HURACAN,LAMBORGHINI,HURACAN,LAMBORGHINI HURACAN
445,LAMBORGHINI,HURACAN STO,LAMBORGHINI HURACAN STO,LAMBORGHINI HURACAN,LAMBORGHINI,HURACAN,LAMBORGHINI HURACAN
446,LAMBORGHINI,HURACAN PERFORMANTE,LAMBORGHINI HURACAN PERFORMANTE,LAMBORGHINI HURACAN,LAMBORGHINI,HURACAN,LAMBORGHINI HURACAN
447,MAZDA,CX 5,MAZDA CX 5,MAZDA CX 5,MAZDA,CX 5,MAZDA CX 5
448,MAZDA,CX 5,MAZDA CX 5,MAZDA CX 5,MAZDA,CX 5,MAZDA CX 5
449,VOLKSWAGEN,T ROC,VOLKSWAGEN T ROC,VOLKSWAGEN T ROC,VOLKSWAGEN,T ROC,VOLKSWAGEN T ROC
450,VOLKSWAGEN,T ROC,VOLKSWAGEN T ROC,VOLKSWAGEN T ROC,VOLKSWAGEN,T ROC,VOLKSWAGEN T ROC
451,VOLKSWAGEN,T ROC R,VOLKSWAGEN T ROC R,VOLKSWAGEN T ROC,VOLKSWAGEN,T ROC,VOLKSWAGEN T ROC
452,VOLKSWAGEN,T ROC R,VOLKSWAGEN T ROC R,VOLKSWAGEN T ROC,VOLKSWAGEN,T ROC,VOLKSWAGEN T ROC
453,AIWAYS,U5,AIWAYS U5,AIWAYS U5,AIWAYS,U5,AIWAYS U5
454,SUZUKI,SWIFT SPORT,SUZUKI SWIFT SPORT,SUZUKI SWIFT SPORT,SUZUKI,SWIFT SPORT,SUZUKI SWIFT SPORT
455,FORD,S MAX,FORD S MAX,FORD S MAX,FORD,S MAX,FORD S MAX
